=== GPX categories ===
 10 subs | Généralités
 12 subs | Cadres juridiques
  5 subs | Procédure Pénale
  2 subs | Droit pénal général
  4 subs | La sanction
 10 subs | Crimes & délits contre la personne
  5 subs | Atteintes aux mineurs & à la famille
  7 subs | Crimes & délits contre la nation
  7 subs | Crimes & délits contre les biens
 13 subs | Infractions à la circulation routière
  9 subs | Armes & munitions
  0 subs | Libertés publiques
 11 subs | Stupéfiants — usage & trafic

=== PA categories ===
  8 subs | Généralités
  1 subs | Hiérarchie — fonctions judiciaires
  5 subs | Cadres juridiques
 10 subs | Circulation routière
  2 subs | Organisation judiciaire
  5 subs | Atteintes aux biens
 12 subs | Atteintes aux personnes
  4 subs | Autorité de l’État
  3 subs | Généralités
  6 subs | Acteurs de la Police Judiciaire
  6 subs | Atteintes aux biens
  7 subs | Atteintes aux personnes
  5 subs | Délits routiers
  3 subs | Autorité de l’État
  2 subs | Stupéfiants
